RMSE ACC MSR_Validate
0.588103 0.05 0.499143
0.499126 0.07 0.468453
0.435111 0.08 0.443825
0.400453 0.1 0.435558
0.371133 0.14 0.396725
0.347206 0.18 0.402087
0.327174 0.23 0.347868
0.318095 0.15 0.397215
0.322244 0.24 0.331815
0.286001 0.25 0.345168
0.275753 0.3 0.327566
0.258276 0.36 0.338085
0.255285 0.31 0.325978
0.315101 0.2 0.322204
0.291724 0.28 0.312452
0.276116 0.28 0.314003
0.256523 0.28 0.302907
0.245327 0.3 0.313875
0.240422 0.31 0.296864
0.248725 0.29 0.327968
0.258633 0.28 0.299901
0.270843 0.33 0.323251
0.258396 0.2 0.293558
0.245134 0.35 0.290121
0.215213 0.33 0.291596
0.213444 0.33 0.303416
0.215446 0.32 0.285577
0.18874 0.35 0.283558
0.181445 0.33 0.285188
0.180361 0.35 0.286021
0.180923 0.34 0.281953
0.177529 0.34 0.28629
0.176779 0.37 0.279151
0.169686 0.34 0.28539
0.16973 0.38 0.277779
0.160739 0.34 0.28345
0.15742 0.39 0.275926
0.149648 0.37 0.279791
0.277317 0.33 0.281234
0.273662 0.39 0.261953
0.273436 0.44 0.248
0.227201 0.43 0.260142
0.228964 0.48 0.256931
0.215931 0.38 0.265624
0.219527 0.44 0.27357
0.215994 0.39 0.271062
0.211467 0.44 0.283308
0.211099 0.39 0.275488
0.205814 0.43 0.292807
0.208638 0.39 0.278686
0.199854 0.45 0.289138
0.195997 0.38 0.281074
0.184735 0.45 0.286797
0.18349 0.4 0.280974
0.170454 0.44 0.281771
0.168464 0.41 0.279305
0.158762 0.44 0.28057
0.155029 0.41 0.279848
0.147221 0.44 0.277992
0.14357 0.43 0.278258
0.136188 0.45 0.274927
0.132494 0.43 0.27635
0.125436 0.44 0.272393
0.280164 0.45 0.253282
0.256357 0.47 0.244393
0.256283 0.59 0.230672
0.250544 0.61 0.225115
0.240256 0.59 0.224527
0.229067 0.53 0.22883
0.220745 0.53 0.231349
0.21448 0.48 0.233344
0.210831 0.45 0.234117
0.205339 0.46 0.234365
0.20063 0.46 0.23602
0.196131 0.46 0.237142
0.191402 0.47 0.238599
0.188241 0.47 0.241327
0.184983 0.45 0.242356
0.180765 0.45 0.243736
0.177696 0.42 0.245258
0.176251 0.42 0.246488
0.171805 0.42 0.245313
0.169682 0.42 0.246949
0.166083 0.42 0.245113
0.163738 0.42 0.246076
0.159869 0.42 0.244624
0.159104 0.45 0.248026
0.154924 0.45 0.243499
0.281445 0.53 0.268638
0.24939 0.49 0.259955
0.218846 0.44 0.285376
0.236745 0.5 0.244604
0.227476 0.49 0.27847
0.216367 0.49 0.243672
0.219045 0.55 0.272449
0.182958 0.6 0.240449
0.200448 0.51 0.287673
0.211315 0.56 0.249997
0.224678 0.65 0.248095
0.147055 0.55 0.263836
0.169408 0.56 0.258854
0.174472 0.57 0.237368
0.16298 0.54 0.265087
0.157641 0.52 0.242681
0.174884 0.56 0.265268
0.135076 0.54 0.234353
0.120521 0.63 0.262369
0.0984419 0.57 0.234139
0.099038 0.56 0.259904
0.086864 0.57 0.233906
0.0944258 0.55 0.260336
0.288288 0.48 0.231715
0.261241 0.51 0.246055
0.232404 0.61 0.249818
0.216218 0.53 0.214986
0.203375 0.56 0.262639
0.213122 0.53 0.21641
0.191171 0.53 0.250479
0.175378 0.51 0.224234
0.180973 0.57 0.262407
0.181459 0.51 0.224449
0.1739 0.54 0.256172
0.161023 0.49 0.228076
0.167305 0.56 0.261659
0.15371 0.5 0.226564
0.150234 0.54 0.253517
0.138433 0.49 0.231289
0.142915 0.56 0.249032
0.12264 0.58 0.232844
0.121022 0.56 0.241775
0.106055 0.58 0.236656
0.106142 0.56 0.239419
0.0980668 0.58 0.236875
0.244137 0.53 0.215845
0.205523 0.53 0.217526
0.190027 0.56 0.208726
0.180956 0.53 0.22509
0.169381 0.54 0.205172
0.167683 0.56 0.221167
0.149848 0.52 0.206231
0.144925 0.56 0.226037
0.140963 0.53 0.205261
0.135674 0.56 0.221641
0.126336 0.53 0.207468
0.124889 0.52 0.225635
0.126386 0.56 0.205924
0.12244 0.51 0.221272
0.113377 0.54 0.206956
0.113257 0.51 0.226252
0.11444 0.56 0.205268
0.114176 0.52 0.222302
0.103499 0.58 0.206657
0.10432 0.52 0.226284
0.105259 0.63 0.204918
0.238756 0.62 0.219012
0.22368 0.61 0.227877
0.204721 0.63 0.215392
0.201982 0.6 0.233891
0.179731 0.58 0.221749
0.167185 0.49 0.245548
0.154728 0.6 0.21188
0.153898 0.5 0.28649
0.195451 0.57 0.228002
0.195616 0.6 0.23887
0.138125 0.53 0.229461
0.136228 0.63 0.237529
0.119716 0.51 0.2429
0.130878 0.62 0.224557
0.124903 0.52 0.279609
0.173985 0.58 0.238155
0.15331 0.59 0.242778
0.121859 0.52 0.236704
0.105807 0.64 0.23951
0.0883569 0.56 0.233832
0.0793315 0.63 0.235684
0.072737 0.63 0.238045
0.0704662 0.65 0.229472
0.24698 0.54 0.261957
0.232097 0.5 0.224122
0.22121 0.54 0.289115
0.241029 0.58 0.236243
0.210225 0.57 0.240069
0.191836 0.57 0.223975
0.169742 0.57 0.253278
0.170366 0.56 0.211776
0.174414 0.54 0.274287
0.175495 0.55 0.226272
0.187131 0.57 0.247131
0.134296 0.56 0.200476
0.129547 0.57 0.230955
0.111659 0.57 0.203306
0.106209 0.57 0.215828
0.0976538 0.57 0.205832
0.0940021 0.59 0.212083
0.0894066 0.59 0.20747
0.0871907 0.59 0.211662
0.0844339 0.59 0.210187
0.082327 0.63 0.2133
0.0801548 0.62 0.211496
0.0784142 0.64 0.214428
0.0765938 0.68 0.211974
0.0751391 0.7 0.21513
0.27163 0.65 0.195809
0.190106 0.54 0.282388
0.26486 0.65 0.20912
0.22034 0.64 0.207472
0.167191 0.58 0.255743
0.154309 0.6 0.209733
0.136325 0.55 0.265586
0.157129 0.68 0.209614
0.146892 0.6 0.245566
0.122046 0.64 0.206178
0.116273 0.6 0.247637
0.118535 0.65 0.207259
0.115422 0.6 0.24775
0.10763 0.63 0.206422
0.103954 0.6 0.241028
0.0906199 0.66 0.20704
0.0898421 0.63 0.233965
0.0769144 0.65 0.20637
0.0759221 0.66 0.224291
0.0622589 0.67 0.208297
0.0594758 0.67 0.213597
0.0504361 0.67 0.211182
0.0496867 0.67 0.210262
0.0464334 0.67 0.210873
0.0451033 0.67 0.209992
0.222108 0.71 0.187802
0.167337 0.67 0.185006
0.173738 0.71 0.181447
0.164079 0.69 0.206398
0.182156 0.6 0.215493
0.205586 0.68 0.237862
0.18187 0.62 0.193529
0.150104 0.71 0.186714
0.110462 0.73 0.16973
0.097788 0.73 0.178533
0.0966056 0.73 0.170872
0.0879375 0.74 0.176688
0.0863947 0.74 0.171578
0.0810807 0.74 0.176456
0.0795722 0.74 0.173726
0.0750568 0.74 0.175388
0.0726354 0.74 0.172684
0.0688712 0.74 0.176211
0.066837 0.74 0.173497
0.0631733 0.74 0.176957
0.060992 0.74 0.173789
0.0574097 0.74 0.176907
0.0551519 0.74 0.173626
0.0523089 0.74 0.17631
0.0501647 0.74 0.172901
0.048104 0.74 0.176123
0.235496 0.56 0.212279
0.203897 0.7 0.158276
