RMSE ACC
0.452806 0.095
0.324334 0.109167
0.307698 0.150833
0.302999 0.165
0.300566 0.175
0.299584 0.16
0.298609 0.185
0.298294 0.198333
0.297641 0.256667
0.29722 0.265
0.296845 0.265833
0.296514 0.255
0.295737 0.308333
0.295554 0.2675
0.295441 0.293333
0.29436 0.326667
0.294811 0.308333
0.294257 0.309167
0.293934 0.339167
0.293431 0.331667
0.293071 0.339167
0.291682 0.380833
0.291542 0.37
0.291275 0.388333
0.291049 0.3575
0.290469 0.374167
0.289826 0.425
0.289755 0.39
0.2883 0.41
0.288793 0.373333
0.287699 0.376667
0.288615 0.366667
0.286455 0.3925
0.286436 0.425
0.284381 0.464167
0.285439 0.410833
0.284712 0.425
0.283657 0.433333
0.283447 0.458333
0.282241 0.458333
0.282028 0.44
0.281807 0.451667
0.278819 0.501667
0.281069 0.471667
0.278746 0.498333
0.276753 0.470833
0.277686 0.5025
0.278267 0.481667
0.274486 0.534167
0.276886 0.495
0.27441 0.523333
0.275868 0.484167
0.273536 0.493333
0.27192 0.5175
0.271122 0.514167
0.269186 0.551667
0.26928 0.553333
0.27237 0.49
0.269963 0.546667
0.268118 0.55
0.266747 0.560833
0.267991 0.519167
0.265267 0.570833
0.26522 0.559167
0.265216 0.571667
0.266732 0.576667
0.264426 0.5575
0.261739 0.585833
0.263079 0.5575
0.26139 0.55
0.262779 0.570833
0.258247 0.6
0.257001 0.594167
0.261124 0.571667
0.258911 0.588333
0.259187 0.549167
0.256744 0.596667
0.253747 0.613333
0.257181 0.545
0.25543 0.583333
0.257037 0.57
0.256516 0.536667
0.24865 0.625
0.251892 0.606667
0.253517 0.57
0.253186 0.578333
0.254367 0.599167
0.25426 0.564167
0.252382 0.5925
0.253978 0.601667
0.253762 0.62
0.25167 0.6275
0.248374 0.635
0.247557 0.6325
0.247831 0.623333
0.24906 0.62
0.242644 0.650833
0.246646 0.615
0.247502 0.601667
0.243573 0.630833
0.247363 0.614167
0.245938 0.653333
0.24867 0.601667
0.24497 0.650833
0.240008 0.645833
0.243361 0.635833
0.240594 0.645833
0.249307 0.600833
0.241161 0.629167
0.241884 0.6325
0.242337 0.65
0.240527 0.660833
0.239711 0.658333
0.238398 0.63
0.239253 0.624167
0.242762 0.641667
0.240295 0.654167
0.240797 0.650833
0.239295 0.6425
0.23404 0.654167
0.233897 0.681667
0.2389 0.635833
0.23526 0.6675
0.235341 0.661667
0.236304 0.650833
0.233236 0.659167
0.239485 0.655833
0.235796 0.671667
0.235425 0.654167
0.233057 0.6475
0.23564 0.6075
0.236243 0.629167
0.233303 0.675833
0.233329 0.65
0.237336 0.6175
0.233035 0.666667
0.233176 0.65
0.227675 0.683333
0.234534 0.665833
0.231099 0.680833
0.225267 0.704167
0.230479 0.6775
0.229114 0.6775
0.228655 0.680833
0.22512 0.680833
0.223885 0.699167
0.226764 0.693333
0.225463 0.701667
0.228193 0.675
0.230435 0.64
0.226189 0.67
0.224412 0.706667
0.22415 0.688333
0.2265 0.669167
0.222235 0.728333
0.22648 0.715833
0.227143 0.67
0.224353 0.678333
0.222188 0.7325
0.22113 0.703333
0.220808 0.715
0.225601 0.693333
0.219739 0.676667
0.218662 0.711667
0.222613 0.696667
0.22031 0.685833
0.222742 0.6825
0.218264 0.724167
0.220468 0.688333
0.22145 0.6925
0.220669 0.684167
0.220523 0.708333
0.221988 0.685833
0.222815 0.655
0.214822 0.73
0.215974 0.701667
0.218533 0.705
0.216747 0.715833
0.214179 0.734167
0.219014 0.72
0.214541 0.700833
0.220708 0.7025
0.216574 0.7
0.215931 0.726667
0.212524 0.728333
0.214791 0.705
0.218758 0.6825
0.216636 0.719167
0.213677 0.720833
0.210514 0.7425
0.215623 0.7325
0.214678 0.71
0.216864 0.695833
0.213471 0.713333
0.211905 0.721667
0.211712 0.7375
0.211889 0.7025
0.210905 0.72
0.208809 0.75
0.213692 0.7175
0.209803 0.724167
0.207198 0.725
0.208933 0.740833
0.206536 0.735833
0.213425 0.710833
0.206619 0.728333
0.206639 0.73
0.205759 0.755
0.204534 0.7825
0.210309 0.76
0.211509 0.774167
0.20737 0.776667
0.205595 0.8275
0.20196 0.795
0.204623 0.765
0.203165 0.82
0.208485 0.7775
0.208924 0.7825
0.206634 0.784167
0.200746 0.808333
0.201978 0.803333
0.207811 0.783333
0.203952 0.8025
0.202272 0.799167
0.205956 0.8
0.203603 0.809167
0.20843 0.775
0.198923 0.810833
0.200897 0.830833
0.205187 0.7875
0.202761 0.813333
0.202793 0.791667
0.200554 0.788333
0.199038 0.808333
0.199546 0.821667
0.202253 0.794167
0.205428 0.7825
0.201161 0.799167
0.19647 0.811667
0.204363 0.769167
0.198827 0.803333
0.203853 0.778333
0.20433 0.789167
