RMSE ACC
0.39581 0.0908333
0.321063 0.124167
0.306936 0.134167
0.303452 0.106667
0.300249 0.146667
0.298211 0.155833
0.295963 0.224167
0.29467 0.300833
0.293635 0.353333
0.291883 0.3875
0.290938 0.403333
0.29012 0.411667
0.289358 0.396667
0.288814 0.4075
0.28681 0.454167
0.28624 0.4525
0.284529 0.449167
0.283633 0.466667
0.28473 0.4375
0.280456 0.476667
0.281655 0.449167
0.279601 0.475833
0.276955 0.5275
0.278451 0.468333
0.277274 0.495833
0.276558 0.475833
0.276697 0.483333
0.272532 0.55
0.273275 0.519167
0.272823 0.5225
0.270554 0.540833
0.269009 0.525
0.26953 0.526667
0.268756 0.535833
0.268975 0.555833
0.267443 0.513333
0.264975 0.574167
0.267097 0.550833
0.266902 0.5325
0.26425 0.574167
0.264465 0.550833
0.261886 0.5725
0.264962 0.565833
0.26199 0.6175
0.260422 0.609167
0.259535 0.596667
0.259572 0.610833
0.258983 0.6175
0.257232 0.619167
0.254439 0.6425
0.254766 0.641667
0.257511 0.598333
0.257582 0.6025
0.256385 0.636667
0.25378 0.645833
0.253042 0.64
0.254349 0.614167
0.251434 0.656667
0.252199 0.6425
0.250774 0.654167
0.249075 0.683333
0.250992 0.650833
0.248685 0.680833
0.249068 0.680833
0.247095 0.669167
0.244861 0.68
0.248286 0.6775
0.243834 0.705
0.244409 0.673333
0.242987 0.686667
0.242344 0.695
0.242201 0.708333
0.242606 0.699167
0.241717 0.7125
0.243366 0.6925
0.239937 0.7175
0.242805 0.681667
0.23722 0.73
0.237258 0.720833
0.235685 0.715833
0.236942 0.706667
0.239411 0.700833
0.240777 0.688333
0.236325 0.730833
0.235312 0.723333
0.235633 0.766667
0.234533 0.749167
0.23229 0.785833
0.233687 0.745833
0.232464 0.755833
0.234791 0.733333
0.232806 0.77
0.231888 0.764167
0.232865 0.756667
0.2286 0.758333
0.228156 0.759167
0.23191 0.7175
0.229192 0.77
0.228106 0.761667
0.221133 0.82
0.224338 0.7925
0.225995 0.774167
0.226025 0.775833
0.224234 0.783333
0.222487 0.791667
0.221033 0.789167
0.221402 0.785
0.222834 0.769167
0.216852 0.7975
0.220072 0.77
0.21613 0.828333
0.218069 0.8025
0.219168 0.7875
0.21693 0.818333
0.219088 0.799167
0.217527 0.789167
0.218382 0.799167
0.218933 0.7975
0.213705 0.824167
0.212144 0.825833
0.209695 0.819167
0.217695 0.771667
0.214299 0.813333
0.211737 0.8025
0.215156 0.7925
0.216597 0.801667
0.211186 0.825
0.210412 0.805833
0.205827 0.835
0.209024 0.8125
0.206625 0.821667
0.208819 0.815
0.207599 0.823333
0.20901 0.811667
0.203015 0.844167
0.20714 0.821667
0.206507 0.801667
0.209333 0.791667
0.20277 0.82
0.203391 0.843333
0.207018 0.805833
0.201361 0.816667
0.203164 0.823333
0.20213 0.815
0.197689 0.844167
0.202743 0.815833
0.199202 0.845833
0.198633 0.845833
0.197673 0.844167
0.201626 0.829167
0.197053 0.8375
0.198378 0.826667
0.198015 0.826667
0.199206 0.823333
0.195138 0.836667
0.195156 0.834167
0.193954 0.833333
0.192919 0.855
0.191095 0.849167
0.196722 0.83
0.192333 0.839167
0.188148 0.855833
0.187312 0.863333
0.190405 0.8375
0.195287 0.800833
0.189468 0.844167
0.187534 0.845833
0.190572 0.859167
0.191718 0.826667
0.187361 0.85
0.186987 0.838333
0.185068 0.854167
0.184319 0.840833
0.187335 0.854167
0.187929 0.833333
0.182989 0.855833
0.17785 0.868333
0.178069 0.8725
0.1826 0.861667
0.181718 0.860833
0.185415 0.8175
0.174339 0.885833
0.179658 0.870833
0.179329 0.861667
0.181686 0.8375
0.180807 0.845
0.177839 0.865
0.176879 0.8675
0.174703 0.875
0.17898 0.855
0.18248 0.835833
0.175442 0.863333
0.175134 0.848333
0.173461 0.859167
0.177762 0.835
0.171848 0.8725
0.171969 0.855833
0.172588 0.845
